% ./projectseries.x -T0 0 -T1 400 -bd basis2/ -Nb 4 -d data/u2 -ul u2 -o u2basis2.asc 
% forcing dissipation energy
1.48052 1.21045 0.134875
1.47084 1.20234 0.133946
1.4613 1.19543 0.133072
1.45189 1.18951 0.132228
1.44259 1.18437 0.131396
1.43338 1.17977 0.130565
1.42427 1.17554 0.12973
1.41526 1.17155 0.128891
1.40637 1.16773 0.128047
1.39758 1.16404 0.1272
1.38893 1.16048 0.126348
1.38041 1.15705 0.125493
1.37205 1.15375 0.124632
1.36383 1.15059 0.123763
1.35578 1.14756 0.122884
1.34789 1.14465 0.121994
1.34018 1.14184 0.12109
1.33265 1.13912 0.120173
1.32529 1.13648 0.119242
1.31811 1.13389 0.118296
1.31111 1.13135 0.117335
1.30428 1.12885 0.11636
1.29763 1.12638 0.115372
1.29116 1.12394 0.11437
1.28485 1.12152 0.113355
1.27871 1.11913 0.112328
1.27273 1.11677 0.11129
1.2669 1.11442 0.110241
1.26123 1.11209 0.109182
1.2557 1.10978 0.108114
1.25032 1.10749 0.107037
1.24507 1.10522 0.105952
1.23996 1.10297 0.10486
1.23497 1.10074 0.103761
1.23011 1.09852 0.102657
1.22536 1.09633 0.101548
1.22073 1.09416 0.100434
1.21621 1.09201 0.0993168
1.21179 1.08988 0.0981968
1.20748 1.08778 0.0970746
1.20326 1.0857 0.0959509
1.19914 1.08364 0.0948263
1.19511 1.08161 0.0937015
1.19116 1.07961 0.092577
1.1873 1.07764 0.0914535
1.18353 1.07569 0.0903315
1.17983 1.07378 0.0892116
1.1762 1.07189 0.0880942
1.17266 1.07003 0.0869799
1.16918 1.0682 0.0858692
1.16577 1.06641 0.0847626
1.16243 1.06464 0.0836604
1.15916 1.06291 0.082563
1.15595 1.06121 0.081471
1.1528 1.05954 0.0803846
1.14971 1.05791 0.0793042
1.14668 1.0563 0.0782302
1.14371 1.05473 0.0771629
1.14079 1.05319 0.0761025
1.13793 1.05169 0.0750493
1.13512 1.05021 0.0740037
1.13236 1.04877 0.0729659
1.12965 1.04736 0.071936
1.127 1.04599 0.0709144
1.12439 1.04464 0.0699011
1.12183 1.04333 0.0688965
1.11932 1.04204 0.0679006
1.11685 1.04079 0.0669137
1.11443 1.03957 0.0659359
1.11206 1.03838 0.0649672
